"year","EcoregionName","ColdToleranceSurvival","GrowthRate","LoganProbability","PeakAdultEmergence","PeakHatchDay","PeakPupation","SafranyikProbability"
1872,"Abitibi Plains",NA,3.28316719081922,NA,190.612952185333,149.243138430855,179.743407822216,NA
1872,"Algonquin-Lake Nipissing",NA,1.21171372373092,NA,178.957288788461,135.136558563452,168.042570919689,NA
1872,"Amundsen Gulf Lowlands",NA,0,NA,319.861058878488,203.76362387173,278.985362899047,NA
1872,"Anderson River Plain",NA,0,NA,273.072713897047,218.437893830392,250.598700808427,NA
1872,"Annapolis-Minas Lowlands",NA,3.84520381125423,NA,194.766938237508,151.741015588878,183.012044191498,NA
1872,"Anticosti Island",NA,3.19100157831101,NA,210.703383897521,165.817284722739,196.911358787468,NA
1872,"Appalachians",NA,3.58400579776451,NA,196.590324857641,154.852521713864,184.41037603584,NA
1872,"Aspen Parkland",NA,3.07973637382522,NA,182.98916738154,139.471780936328,170.594714998616,NA
1872,"Athabasca Plain",NA,4.44692044883769,NA,195.222561148789,155.785104693392,184.299305765837,NA
1872,"Atlantic Coast",NA,4.38528945831793,NA,199.412185359258,154.862271740899,186.843194646442,NA
1872,"Avalon Forest",NA,1.19802480044861,NA,224.007767774206,176.056128942619,209.474449958568,NA
1872,"Back River Plain",NA,0.000583235634174605,NA,228.50486397914,179.129030736046,211.702505444908,NA
1872,"Baffin Islands Coastal Lowlands",NA,0,NA,367,366.78891356202,367,NA
1872,"Baffin Island Uplands",NA,0,NA,367,356.026277535006,367,NA
1872,"Baffin Mountains",NA,0,NA,367,346.370614011672,367,NA
1872,"Baffin Upland",NA,0,NA,367,273.700679286804,367,NA
1872,"Banks Island Coastal Plain",NA,0,NA,364.574219127844,350.522185325518,363.736338163035,NA
1872,"Banks Island Lowland",NA,0,NA,365.345097011671,341.947997231586,364.772324482682,NA
1872,"Bathurst Hills",NA,0,NA,265.305458552073,183.563681683112,222.991959675113,NA
1872,"Belcher Islands",NA,0.000334239174041337,NA,333.55744240954,216.978760363549,282.381343171498,NA
1872,"Big Trout Lake",NA,3.65722552651064,NA,192.337408085161,149.928868946124,181.067449962176,NA
1872,"Bluenose Lake Plain",NA,0,NA,281.038931847109,191.312189912454,269.68082644196,NA
1872,"Boothia Peninsula Plateau",NA,0,NA,367,308.40713025892,364.330955391639,NA
1872,"Borden Peninsula Plateau",NA,0,NA,367,367,367,NA
1872,"Boreal Mountains and Plateaus",NA,2.52770995300795e-05,NA,309.656305934992,192.422243554205,240.155493846406,NA
1872,"Boreal Transition",NA,4.02278031520097,NA,188.095559408269,146.023189710416,176.071633986552,NA
1872,"British-Richardson Mountains",NA,0,NA,279.983613569218,205.835288554625,269.249458456117,NA
1872,"Bulkley Ranges",NA,0.175579823183662,NA,234.64764104098,179.159494356137,216.281721989776,NA
1872,"Cape Breton Highlands",NA,4.92851410274225,NA,212.837318787671,167.849671494954,199.858691551475,NA
1872,"Cascade Ranges",NA,3.35680240188844,NA,196.080160158408,150.489696704288,181.555822580008,NA
1872,"Central Canadian Rocky Mountains",NA,1.28085697143251,NA,220.848688536194,169.01721063407,204.413321250523,NA
1872,"Central Laurentians",NA,2.76309711457287,NA,208.37620846614,163.576943641802,193.833914425398,NA
1872,"Central Newfoundland",NA,0.768603506070634,NA,223.356457647697,173.796074626757,208.915275098199,NA
1872,"Central Ungava Peninsula",NA,0,NA,341.131026262336,234.302678138887,302.854200000452,NA
1872,"Chantrey Inlet Lowland",NA,0,NA,336.773407691569,197.718023880068,262.147218726469,NA
1872,"Chilcotin Ranges",NA,2.47282585731735,NA,219.272756922388,168.116524805452,203.437951941328,NA
1872,"Churchill River Upland",NA,4.23293329384918,NA,192.720668393738,153.080887760831,181.628063386845,NA
1872,"Clear Hills Upland",NA,3.92325383472791,NA,201.913152350873,157.036360863335,188.719868493326,NA
1872,"Coastal Barrens",NA,0,NA,278.638745270464,189.676056528408,239.880190992165,NA
1872,"Coastal Gap",NA,1.24473892440045,NA,212.803528485834,161.478487144062,195.773587141942,NA
1872,"Coastal Hudson Bay Lowland",NA,1.37601391369298,NA,259.824542439614,186.383288937142,228.470015711079,NA
1872,"Columbia Mountains and Highlands",NA,2.12688466600263,NA,214.774172317037,164.299085198868,199.279319142833,NA
1872,"Colville Hills",NA,0.000144982558905104,NA,223.549837150467,171.695335587384,206.482913008869,NA
1872,"Coppermine River Upland",NA,0.537416721626709,NA,215.210645182418,169.168635780692,201.395118679639,NA
1872,"Coronation Hills",NA,0.00180971386802764,NA,274.786437581596,199.436804685371,258.581081966051,NA
